120.c | uncertain_best_flag | {'-O0': 0.010695330000271498, '-O1': 0.010391269999854558, '-O2': 0.0103973333337611, '-O3': 0.011019949999717938}
122.c | uncertain_best_flag | {'-O0': 0.009443980000105512, '-O1': 0.00935981999955402, '-O2': 0.009493420000217157, '-O3': 0.009270630000537494}
128.c | uncertain_best_flag | {'-O0': 0.009212650000154098, '-O1': 0.009293440001238195, '-O2': 0.009368260000701411, '-O3': 0.009557690000292496}
129.c | uncertain_best_flag | {'-O0': 0.00921996999913972, '-O1': 0.009992630000306235, '-O2': 0.009062549999725888, '-O3': 0.009042249999765772}
13.c | uncertain_best_flag | {'-O0': 0.009249600000657665, '-O1': 0.009066390000589309, '-O2': 0.009132100000670107, '-O3': 0.00913486999925226}
136.c | uncertain_best_flag | {'-O0': 0.009320210000259977, '-O1': 0.009032789999764645, '-O2': 0.009291179999308952, '-O3': 0.009040360000471991}
152.c | uncertain_best_flag | {'-O0': 0.009720490000654535, '-O1': 0.009686960000362888, '-O2': 0.010417919999781589, '-O3': 0.009734037499583792}
160.c | uncertain_best_flag | {'-O0': 0.010342730000229495, '-O1': 0.009780669999054225, '-O2': 0.010179179999795451, '-O3': 0.009721790000730835}
165.c | uncertain_best_flag | {'-O0': 0.01031667999941419, '-O1': 0.009806200000639365, '-O2': 0.011491980000755575, '-O3': 0.00977240000065649}
168.c | uncertain_best_flag | {'-O0': 0.009695859999737877, '-O1': 0.009745189999921421, '-O2': 0.00946007999991707, '-O3': 0.009520270000393793}
171.c | uncertain_best_flag | {'-O0': 0.009549940000215428, '-O1': 0.009310010000990587, '-O2': 0.00944056999960594, '-O3': 0.009218759999930626}
172.c | uncertain_best_flag | {'-O0': 0.009065339999870048, '-O1': 0.009374870000829105, '-O2': 0.009124809999957507, '-O3': 0.009174940000593778}
179.c | uncertain_best_flag | {'-O0': 0.009366229999432107, '-O1': 0.009188569999605534, '-O2': 0.009212799999659183, '-O3': 0.009476916667154}
189.c | uncertain_best_flag | {'-O0': 0.009188150000045425, '-O1': 0.00933558999968227, '-O2': 0.009277710000424122, '-O3': 0.009185919999617908}
190.c | uncertain_best_flag | {'-O0': 0.010845199999312171, '-O1': 0.00939023000009911, '-O2': 0.00938676000059786, '-O3': 0.011239049999130658}
