lines,chars,functions,loops,conditionals,recursion,arrays,pointers,structs,globals,function_calls,complexity,nesting,malloc_usage,stdio_usage,comments,blank_lines,O0_time,O1_time,O2_time,O3_time,best_flag
131,109588,5,7,8,0,43,21,3,0,14,19,5,1,1,4,20,0.0104670700,0.0100060800,0.0121504200,0.0102210125,O1
59,1344,3,0,4,1,0,10,13,0,17,9,2,1,1,0,7,0.0093708600,0.0091949800,0.0089408900,0.0098408000,O2
76,1410,4,0,4,1,0,9,11,0,16,10,2,1,1,1,18,0.0111890400,0.0124263500,0.0109081100,0.0101022200,O3
151,3292,4,3,9,0,9,43,22,0,21,13,4,1,1,11,35,0.0098393200,0.0094312400,0.0090397167,0.0103624600,O2
48,979,3,0,3,1,0,7,9,0,14,4,2,1,1,0,6,0.0118813000,0.0130572700,0.0098179000,0.0102142750,O2
58,1422,4,1,4,1,8,9,9,0,14,9,3,1,1,0,14,0.0092881200,0.0099241000,0.0098864800,0.0113782800,O0
58,1462,4,1,4,1,8,9,9,0,14,9,3,1,1,0,14,0.0093192000,0.0095315800,0.0106336125,0.0097634300,O0
102,2113,5,1,6,1,3,22,23,0,19,9,3,1,1,3,24,0.0098786000,0.0102201300,0.0102969875,0.0110354900,O0
80,1832,4,0,6,1,0,8,10,0,25,10,3,1,1,4,11,0.0126378500,0.0135542800,0.0102966000,0.0097531000,O3
59,1217,3,0,5,1,0,7,9,0,14,10,2,1,1,4,8,0.0116312700,0.0105761900,0.0091539667,0.0100001200,O2
53,1241,3,0,4,1,0,7,9,0,18,8,2,1,1,4,8,0.0105261000,0.0117151000,0.0101447125,0.0163273500,O2
70,1387,3,1,4,1,0,22,12,0,11,6,2,1,1,0,13,0.0124594900,0.0135591900,0.0110076800,0.0131308600,O2
50,949,2,4,2,0,30,5,0,0,11,10,4,1,1,0,12,0.0104820300,0.0136180800,0.0110983900,0.0114144125,O0
49,1179,3,0,3,1,0,8,8,0,8,6,1,1,1,1,11,0.0098123625,0.0095099900,0.0110713100,0.0107832000,O1
44,1120,2,4,0,0,16,22,0,0,8,5,3,1,1,5,8,0.0120046800,0.0117426100,0.0097229000,0.0092610200,O3
31,591,2,3,0,0,6,4,0,0,6,4,3,1,1,0,2,0.0099041900,0.0105484900,0.0104728300,0.0094135000,O3
85,1788,2,8,6,0,19,3,0,0,7,15,3,1,1,2,2,0.0099445900,0.0095696200,0.0104933300,0.0108707625,O1
23,81350,2,1,2,0,8,0,0,0,4,4,2,0,1,0,4,0.0106242200,0.0128263600,0.0102882900,0.0111529000,O2
64,1389,3,3,5,0,17,1,0,0,28,16,3,0,1,0,12,0.0090418833,0.0091913900,0.0097028700,0.0094121125,O0
31,693,2,1,2,0,8,2,0,0,5,5,3,0,1,0,6,0.0093090400,0.0090430300,0.0089445500,0.0096899600,O2
114,2540,2,5,5,0,0,18,20,0,14,11,3,1,1,7,16,0.0089883800,0.0092143500,0.0095653700,0.0096402500,O0
48,821,2,2,2,0,8,6,0,0,9,5,4,1,1,0,8,0.0094932900,0.0105106500,0.0102037300,0.0092429700,O3
60,1112,2,1,5,0,0,7,8,0,11,9,2,1,1,4,15,0.0094050700,0.0116595250,0.0102143833,0.0096126800,O0
62,1121,2,2,4,0,0,9,10,0,6,9,2,1,1,1,14,0.0104114600,0.0098727600,0.0094085500,0.0106491700,O2
95,1875,4,6,3,1,0,21,17,0,25,12,2,1,1,2,17,0.0104256300,0.0110921750,0.0102124750,0.0094406400,O3
107,2256,5,2,6,0,2,26,26,0,15,12,4,1,1,1,15,0.0110237200,0.0103995800,0.0098561200,0.0100414600,O2
284,6251,8,3,20,0,6,20,21,0,81,27,6,1,1,23,50,0.0128041700,0.0128929900,0.0104637600,0.0103053400,O3
88,1945,3,4,3,0,0,22,18,0,16,8,4,1,1,5,16,0.0103127000,0.0099532700,0.0102782200,0.0104058300,O1
95,1879,3,6,7,1,0,31,20,0,14,15,3,1,1,0,16,0.0103395250,0.0102131600,0.0103577300,0.0103857833,O1
82,1754,5,2,5,0,8,23,12,0,32,8,3,1,1,0,8,0.0097970900,0.0099063300,0.0100332900,0.0093670100,O3
63,1215,2,6,3,0,18,1,0,0,6,12,4,0,1,3,5,0.0095530200,0.0103797100,0.0100025700,0.0097353500,O0
30,628,2,1,2,0,7,1,0,0,5,4,3,0,1,3,5,0.0102802100,0.0095948000,0.0098072375,0.0099023125,O1
30,655,2,1,2,0,7,1,0,0,5,4,3,0,1,3,5,0.0098657500,0.0112765100,0.0105661400,0.0100656700,O0
113,2485,7,4,9,0,0,16,3,0,25,18,4,1,1,6,15,0.0099017100,0.0106451300,0.0109119900,0.0098016000,O3
31,872,2,1,3,0,16,1,0,0,6,10,3,0,1,0,3,0.0096754300,0.0095677400,0.0097900900,0.0097014875,O1
58,1278,2,5,2,0,13,6,0,0,9,8,3,1,1,2,13,0.0102822300,0.0101812900,0.0097627400,0.0096212700,O3
31,613,2,1,2,0,8,0,0,0,6,4,3,0,1,0,8,0.0094236500,0.0106632000,0.0115075400,0.0107970400,O0
73,1383,2,6,2,0,0,8,9,0,12,9,2,1,1,5,17,0.0106071200,0.0096077600,0.0093679700,0.0097667400,O2
112,2501,8,3,1,0,0,1,0,0,13,5,2,0,1,40,15,0.0137944167,0.0126059000,0.0121538900,0.0115730875,O3
30,711,2,1,2,0,14,2,0,0,7,4,3,1,1,6,4,0.0107550200,0.0159562200,0.0094188200,0.0117417700,O2
